draw_no,first_prize,second_prize_1,second_prize_2,second_prize_3,city,draw_date,rolling_mean_first_prize_10,rolling_std_first_prize_10,rolling_entropy_first_prize_10,rolling_runs_first_prize_10,rolling_digit_dominance_first_prize_10,rolling_mean_second_prize_1_10,rolling_std_second_prize_1_10,rolling_entropy_second_prize_1_10,rolling_runs_second_prize_1_10,rolling_digit_dominance_second_prize_1_10,rolling_mean_second_prize_2_10,rolling_std_second_prize_2_10,rolling_entropy_second_prize_2_10,rolling_runs_second_prize_2_10,rolling_digit_dominance_second_prize_2_10,rolling_mean_second_prize_3_10,rolling_std_second_prize_3_10,rolling_entropy_second_prize_3_10,rolling_runs_second_prize_3_10,rolling_digit_dominance_second_prize_3_10,rolling_mean,rolling_std,rolling_entropy,rolling_runs,rolling_digit_dominance,first_prize_last_digit,first_prize_prev_last_digit,first_prize_transition_prob,first_prize_transition_surprise,second_prize_1_last_digit,second_prize_1_prev_last_digit,second_prize_1_transition_prob,second_prize_1_transition_surprise,second_prize_2_last_digit,second_prize_2_prev_last_digit,second_prize_2_transition_prob,second_prize_2_transition_surprise,second_prize_3_last_digit,second_prize_3_prev_last_digit,second_prize_3_transition_prob,second_prize_3_transition_surprise,last_digit,prev_last_digit,transition_prob,transition_surprise,expected_surprise,surprise_residual,surprise_zscore,is_anomaly
80,378562,296432,512602,813469,Rawalpindi,2019-10-15,341619.9,324866.5085622606,1.8343719702816237,10.0,2.0,241171.2,187133.4516201977,1.9730014063936128,10.0,2.0,500939.2,236516.904158291,1.8343719702816235,10.0,2.0,816949.1,174791.22342411822,1.5571130980576458,10.0,2.0,341619.9,324866.5085622606,1.8343719702816237,10.0,2.0,2,2.0,0.125,2.0794415416798357,2,8.0,0.2,1.6094379124341003,2,9.0,0.125,2.0794415416798357,9,9.0,0.1,2.3025850929940455,2,2.0,0.125,2.0794415416798357,1.9294548199939292,0.14998672168590654,0.2753955891216703,0
79,161158,204877,262276,619632,Karachi,2019-07-15,357314.9,310215.0888781131,1.8343719702816237,10.0,2.0,210529.5,161290.68393655663,1.8343719702816237,10.0,2.0,472167.2,247147.61381759954,1.8343719702816235,10.0,2.0,780584.9,174169.22207085468,1.4708084763221114,10.0,3.0,357314.9,310215.0888781131,1.8343719702816237,10.0,2.0,8,2.0,0.25,1.3862943611198906,7,2.0,0.2222222222222222,1.5040773967762742,6,2.0,0.2,1.6094379124341003,2,9.0,0.1,2.3025850929940455,8,2.0,0.25,1.3862943611198906,1.7972792359956968,-0.41098487487580626,-0.8343669476428306,0
78,682299,3875,663603,983623,Lahore,2019-04-15,418560.3,307601.1746734001,1.6434177197931799,10.0,2.0,193700.4,174016.0595055014,1.6957425341696346,10.0,2.0,506414.1,247621.04190900252,1.6434177197931799,10.0,2.0,796085.0,185450.9930251117,1.5571130980576458,10.0,2.0,418560.3,307601.1746734001,1.6434177197931799,10.0,2.0,9,8.0,0.25,1.3862943611198906,5,7.0,0.16666666666666666,1.791759469228055,3,6.0,0.07142857142857142,2.639057329615259,3,2.0,0.18181818181818182,1.7047480922384253,9,8.0,0.25,1.3862943611198906,1.8665939540516916,-0.480299592931801,-1.3830582571093177,0
77,479780,121611,223172,553151,Peshawar,2019-01-15,433357.4,306521.49931419536,1.8343719702816237,10.0,2.0,182591.0,174793.73106607678,1.6957425341696346,10.0,2.0,444459.0,231080.47910197862,1.6957425341696348,10.0,2.0,760593.9,195337.46735127683,1.7480673485460896,10.0,1.0,433357.4,306521.49931419536,1.8343719702816237,10.0,2.0,0,9.0,0.125,2.0794415416798357,1,5.0,0.23076923076923078,1.466337068793427,2,3.0,0.1,2.3025850929940455,1,3.0,0.3,1.2039728043259361,0,9.0,0.125,2.0794415416798357,1.8730478061654487,0.206393735514387,0.5881560081330781,0
76,963916,96651,678838,835627,Lahore,2018-10-15,525947.8,313592.70946875605,2.0253262207700673,10.0,1.0,192173.0,166134.6423637566,1.6957425341696346,10.0,2.0,480872.3,236976.7502318646,1.6957425341696346,10.0,2.0,802405.8,154146.47322220664,1.8866967846580784,10.0,1.0,525947.8,313592.70946875605,2.0253262207700673,10.0,1.0,6,0.0,0.4,0.916290731874155,1,1.0,0.1111111111111111,2.1972245773362196,8,2.0,0.4,0.916290731874155,7,1.0,0.25,1.3862943611198906,6,0.0,0.4,0.916290731874155,1.7567327251848806,-0.8404419933107256,-1.855835501777846,0
75,374125,6662,554796,958183,Faisalabad,2018-07-16,541586.4,300125.0344977352,2.1639556568820564,10.0,1.0,173372.4,176156.4818980871,1.7480673485460896,10.0,1.0,449165.9,196627.73490784274,1.7480673485460894,10.0,1.0,802863.7,154651.49368610856,1.6957425341696346,10.0,2.0,541586.4,300125.0344977352,2.1639556568820564,10.0,1.0,5,6.0,0.2,1.6094379124341003,2,1.0,0.2222222222222222,1.5040773967762742,6,8.0,0.11764705882352941,2.1400661634962708,3,7.0,0.16666666666666666,1.791759469228055,5,6.0,0.2,1.6094379124341003,1.7097323622603071,-0.10029444982620683,-0.22801780364599591,0
74,82423,180469,384302,611891,Rawalpindi,2018-04-16,464354.6,309801.5569282304,2.1639556568820564,10.0,1.0,186934.5,170284.88867662652,1.8866967846580784,10.0,1.0,470769.8,172754.09516213756,1.6957425341696346,10.0,2.0,791245.6,164917.7342981781,1.6957425341696346,10.0,2.0,464354.6,309801.5569282304,2.1639556568820564,10.0,1.0,3,5.0,0.06666666666666667,2.70805020110221,9,2.0,0.1111111111111111,2.1972245773362196,2,6.0,0.14285714285714285,1.9459101490553135,1,3.0,0.3,1.2039728043259361,3,5.0,0.06666666666666667,2.70805020110221,1.7725932282025447,0.9354569728996653,1.753406793593531,0
73,156055,177661,786994,953433,Lahore,2018-01-15,449074.4,321856.996663356,2.0253262207700673,10.0,1.0,165293.9,154009.90565793696,1.8343719702816235,10.0,2.0,489108.2,196520.8649769507,1.8343719702816235,10.0,2.0,793563.6,167235.26209717596,1.6957425341696346,10.0,2.0,449074.4,321856.996663356,2.0253262207700673,10.0,1.0,5,3.0,0.2222222222222222,1.5040773967762742,1,9.0,0.2,1.6094379124341003,4,2.0,0.2,1.6094379124341003,3,1.0,0.25,1.3862943611198906,5,3.0,0.2222222222222222,1.5040773967762742,1.7843715317681828,-0.2802941349919086,-0.5336203527425404,0
72,960247,24343,323583,883704,Hyderabad,2017-10-16,519745.7,350467.0517454134,2.0253262207700673,10.0,1.0,162846.9,156244.4443182611,1.8343719702816235,10.0,2.0,494829.5,190041.81022445793,1.6957425341696346,10.0,2.0,815659.2,162562.50459903458,1.6957425341696346,10.0,2.0,519745.7,350467.0517454134,2.0253262207700673,10.0,1.0,7,5.0,0.3333333333333333,1.0986122886681098,3,1.0,0.2222222222222222,1.5040773967762742,3,4.0,0.2,1.6094379124341003,4,3.0,0.1,2.3025850929940455,7,5.0,0.3333333333333333,1.0986122886681098,1.6639742513355895,-0.5653619626674797,-1.0642333021064143,0
71,624455,590977,630169,838033,Lahore,2017-07-17,486302.0,318394.2600051424,1.9730014063936125,10.0,2.0,170355.8,175690.53154389895,1.6957425341696344,10.0,2.0,502033.5,194031.49346333218,1.6957425341696346,10.0,2.0,805074.6,156623.7683666748,1.6094379124341005,10.0,3.0,486302.0,318394.2600051424,1.9730014063936125,10.0,2.0,5,7.0,0.2,1.6094379124341003,7,3.0,0.1111111111111111,2.1972245773362196,9,3.0,0.2,1.6094379124341003,3,4.0,0.18181818181818182,1.7047480922384253,5,7.0,0.2,1.6094379124341003,1.6377378248888401,-0.02829991245473984,-0.05377247697579071,0
